Model,Accuracy,F1 Score,Execution Time
LGBM_CICIDS2019_w_CICIDS2018,0.035833333333333335,0.023497267759562842,0.052489519119262695
RF_UNSW-NB15_w_CICIDS2018,0.17,0.04084832983161293,0.03708648681640625
k-NN_UNSW-NB15_w_CICIDS2018,0.1475,0.029200692897797573,0.03129887580871582
LGBM_UNSW-NB15_w_CICIDS2018,0.1375,0.033268697584605565,0.029642343521118164
RF_CICIDS2017_CICIDS2018_w_CICIDS2018,0.165,0.045146273333318686,0.03768110275268555
k-NN_CICIDS2017_CICIDS2018_w_CICIDS2018,0.255,0.16766120343494464,0.02929377555847168
LGBM_CICIDS2017_CICIDS2018_w_CICIDS2018,0.15916666666666668,0.0844240837696335,0.0385127067565918
RF_CICIDS2017_CICIDS2019_w_CICIDS2018,0.028333333333333332,0.013905930470347648,0.04803180694580078
k-NN_CICIDS2017_CICIDS2019_w_CICIDS2018,0.005833333333333334,0.003215715399466121,0.04408669471740723
LGBM_CICIDS2017_CICIDS2019_w_CICIDS2018,0.0575,0.017413627400486797,0.06770062446594238
RF_CICIDS2017_UNSW-NB15_w_CICIDS2018,0.15833333333333333,0.03894138240339984,0.03735208511352539
k-NN_CICIDS2017_UNSW-NB15_w_CICIDS2018,0.1225,0.03645635673624288,0.03202247619628906
LGBM_CICIDS2017_UNSW-NB15_w_CICIDS2018,0.34833333333333333,0.16322052104799709,0.05052685737609863
RF_CICIDS2018_CICIDS2019_w_CICIDS2018,0.04083333333333333,0.012501522631827215,0.04793953895568848
k-NN_CICIDS2018_CICIDS2019_w_CICIDS2018,0.15,0.05465911440913273,0.043395042419433594
LGBM_CICIDS2018_CICIDS2019_w_CICIDS2018,0.034166666666666665,0.00648381652428336,0.06788396835327148
RF_CICIDS2018_UNSW-NB15_w_CICIDS2018,0.17666666666666667,0.05413292589763178,0.03757047653198242
k-NN_CICIDS2018_UNSW-NB15_w_CICIDS2018,0.12583333333333332,0.03918970814132104,0.02902698516845703
LGBM_CICIDS2018_UNSW-NB15_w_CICIDS2018,0.22,0.10216557433970984,0.03803825378417969
RF_CICIDS2017_CICIDS2018_CICIDS2019_w_CICIDS2018,0.1125,0.030269541472109866,0.048004150390625
